_id,orgName,email,role,location,country,description,interests,skills,website,contact_person,phone,capacity_score,avg_project_budget,active_projects,languages,timezone,created_at
partner_0001,ImpactNetwork 1 (Government),contact1@impactnetwork.org,Government,"London, UK",UK,"CommunityWorks 1 (Government) focuses on gis and works on SDG 9. Operating primarily in London, UK.",SDG 9,"Communications, Project Management, Mobile App Development",https://www.impactnetwork1.org,Lead 1,44892891174,95,10000,12,"English, French",UTC,2025-10-23T06:12:22.380407Z
partner_0002,ImpactInitiative 2 (Startup),contact2@impactinitiativ.org,Startup,"Tokyo, Japan",Japan,"UrbanPartners 2 (Startup) focuses on gis and works on SDG 10. Operating primarily in Tokyo, Japan.",SDG 10,"Water Management, Mobile App Development",https://www.impactinitiativ2.org,Lead 2,2033246548,80,10000,2,"English, Arabic",Asia/Tokyo,2024-07-06T06:12:22.380407Z
partner_0003,ImpactWorks 3 (University),contact3@impactworks.org,University,"Bangkok, Thailand",Thailand,"RuralFoundation 3 (University) focuses on agriculture and works on SDG 11, SDG 6, SDG 14, SDG 5. Operating primarily in Bangkok, Thailand.","SDG 11, SDG 6, SDG 14, SDG 5","Research, Agriculture",https://www.impactworks3.org,Lead 3,1658900037,70,100000,5,"English, Arabic",UTC,2025-07-12T06:12:22.380407Z
partner_0004,FutureCollective 4 (Foundation),contact4@futurecollectiv.org,Foundation,"London, UK",UK,"OceanCollective 4 (Foundation) focuses on marine science and works on SDG 5. Operating primarily in London, UK.",SDG 5,"Marine Science, Education",https://www.futurecollectiv4.org,Lead 4,44962436871,44,100000,12,"English, French",UTC,2024-12-02T06:12:22.380407Z
partner_0005,UrbanCollective 5 (Startup),contact5@urbancollective.org,Startup,"Hyderabad, India",India,"OceanWorks 5 (Startup) focuses on logistics and works on SDG 17, SDG 7, SDG 14, SDG 5. Operating primarily in Hyderabad, India.","SDG 17, SDG 7, SDG 14, SDG 5","Fundraising, Agriculture",https://www.urbancollective5.org,Lead 5,91915578158,88,100000,12,"English, Hindi",Asia/Kolkata,2022-09-20T06:12:22.380407Z
partner_0006,UrbanFoundation 6 (University),contact6@urbanfoundation.org,University,"Tokyo, Japan",Japan,"CommunityWorks 6 (University) focuses on gis and works on SDG 9. Operating primarily in Tokyo, Japan.",SDG 9,"Communications, Water Management, Project Management",https://www.urbanfoundation6.org,Lead 6,2941172756,48,50000,8,"English, French",Asia/Tokyo,2024-10-28T06:12:22.380407Z
partner_0007,UrbanInitiative 7 (NGO),contact7@urbaninitiative.org,NGO,Singapore,Singapore,"CommunityFoundation 7 (NGO) focuses on education and works on SDG 3, SDG 15, SDG 2, SDG 17. Operating primarily in Singapore.","SDG 3, SDG 15, SDG 2, SDG 17","Education, Policy Advocacy",https://www.urbaninitiative7.org,Lead 7,2874476216,94,100000,5,"English, Spanish",Asia/Singapore,2022-03-20T06:12:22.380407Z
partner_0008,RuralNetwork 8 (NGO),contact8@ruralnetwork.org,NGO,"Hyderabad, India",India,"BlueLabs 8 (NGO) focuses on research and works on SDG 13, SDG 16, SDG 11, SDG 3. Operating primarily in Hyderabad, India.","SDG 13, SDG 16, SDG 11, SDG 3","GIS, Project Management",https://www.ruralnetwork8.org,Lead 8,91966078510,44,100000,7,"English, Hindi",Asia/Kolkata,2025-10-03T06:12:22.380407Z
partner_0009,TerraWorks 9 (Government),contact9@terraworks.org,Government,"Bengaluru, India",India,"OceanNetwork 9 (Government) focuses on renewable energy and works on SDG 9, SDG 3, SDG 6, SDG 10. Operating primarily in Bengaluru, India.","SDG 9, SDG 3, SDG 6, SDG 10","Communications, Renewable Energy",https://www.terraworks9.org,Lead 9,91658343738,77,25000,3,"English, Arabic",Asia/Kolkata,2025-04-01T06:12:22.380407Z
partner_0010,UrbanInitiative 10 (NGO),contact10@urbaninitiative.org,NGO,"Bengaluru, India",India,"TerraInitiative 10 (NGO) focuses on research and works on SDG 7, SDG 4, SDG 17, SDG 16. Operating primarily in Bengaluru, India.","SDG 7, SDG 4, SDG 17, SDG 16","GIS, Renewable Energy, Project Management, Data Analysis",https://www.urbaninitiative10.org,Lead 10,91630565150,88,50000,3,"English, Spanish",Asia/Kolkata,2023-09-21T06:12:22.380407Z
