milestones_total,milestones_completed,milestones_completion_pct,milestones_on_time_pct,time_elapsed_pct,schedule_variance,delivery_velocity,budget_used_pct,budget_efficiency,resource_availability,resource_availability_code,collaborators,sdg_confidence_avg,project_status
13,7,0.5745,0.2706,0.5741,0.0003,12.192,46.82,1.2012,High,2,3,0.703,On Track
15,13,0.8547,0.8361,0.7715,0.0832,16.8499,57.83,1.4529,High,2,11,0.301,On Track
4,1,0.3205,0.658,0.5381,-0.2176,1.8585,37.61,0.83,High,2,2,0.483,At Risk
20,8,0.4165,0.466,0.1516,0.2649,52.7646,54.79,0.7467,Low,0,2,0.936,At Risk
14,0,0.0322,0.0073,0.1109,-0.0787,0.0,36.85,0.0852,Medium,1,10,0.772,At Risk
4,1,0.2379,0.5238,0.2932,-0.0553,3.4108,37.64,0.6156,Low,0,9,0.944,At Risk
9,1,0.0844,0.4885,0.1268,-0.0424,7.8858,69.38,0.1199,High,2,1,0.659,At Risk
5,5,0.9066,1.0,0.8443,0.0623,5.9224,49.29,1.8026,High,2,7,0.436,On Track
16,10,0.6082,0.5989,0.6196,-0.0113,16.1398,33.24,1.7763,Medium,1,2,0.778,On Track
10,10,0.99,0.9665,0.8439,0.1461,11.8498,91.39,1.0716,High,2,2,0.522,On Track
20,11,0.5324,0.6919,0.5967,-0.0644,18.4332,42.75,1.2169,Medium,1,7,0.771,At Risk
4,2,0.4966,0.454,0.3519,0.1446,5.6831,27.73,1.7286,High,2,10,0.784,On Track
6,2,0.3222,0.1521,0.5227,-0.2005,3.8266,26.32,1.1792,Low,0,4,0.858,At Risk
23,14,0.624,0.8931,0.6219,0.0022,22.5126,43.78,1.3935,Medium,1,11,0.947,On Track
21,18,0.8575,0.8714,0.7957,0.0618,22.6207,64.67,1.3058,Medium,1,1,0.619,On Track
21,9,0.4205,0.2774,0.4342,-0.0136,20.7298,22.67,1.7767,Medium,1,10,0.902,On Track
15,11,0.7454,0.3985,0.5625,0.1829,19.5565,51.79,1.412,Medium,1,1,0.534,On Track
10,4,0.3926,0.083,0.7005,-0.3079,5.7106,7.97,4.374,Low,0,1,0.659,At Risk
20,12,0.6173,0.5072,0.8188,-0.2015,14.6551,45.8,1.3189,Medium,1,3,0.722,At Risk
12,5,0.3842,0.4702,0.3129,0.0713,15.9805,27.29,1.3581,High,2,7,0.714,On Track
7,5,0.7498,0.747,0.7839,-0.0341,6.3786,32.35,2.2479,Low,0,9,0.877,On Track
6,4,0.6417,0.466,0.5822,0.0595,6.8705,72.25,0.876,High,2,10,0.786,On Track
12,4,0.3478,0.5188,0.3449,0.0029,11.5968,73.94,0.4642,High,2,9,0.911,At Risk
24,8,0.3147,0.4641,0.3849,-0.0702,20.7859,41.7,0.7369,Medium,1,3,0.958,At Risk
6,2,0.3454,0.2401,0.336,0.0094,5.9523,27.75,1.2014,Medium,1,10,0.867,On Track
21,8,0.3802,0.6985,0.4683,-0.0882,17.0815,5.3,6.0388,Medium,1,11,0.641,At Risk
9,2,0.1992,0.0797,0.2038,-0.0046,9.8142,48.53,0.4022,Medium,1,6,0.855,At Risk
6,4,0.7345,0.7567,0.5946,0.1399,6.7276,45.81,1.5689,Medium,1,9,0.897,On Track
25,8,0.3209,0.0259,0.4131,-0.0922,19.3678,58.72,0.5373,Low,0,2,0.758,At Risk
21,7,0.3196,0.144,0.5658,-0.2462,12.3708,63.7,0.494,High,2,1,0.818,At Risk
22,0,0.0,0.06,0.1719,-0.1719,0.0,7.23,0.0,Medium,1,4,0.698,At Risk
18,15,0.8371,0.5398,0.4413,0.3958,33.9896,39.06,2.0898,High,2,11,0.447,On Track
20,9,0.4356,0.3298,0.5535,-0.1179,16.2601,32.52,1.2998,Medium,1,7,0.651,At Risk
13,6,0.4468,0.7789,0.5313,-0.0845,11.2925,58.67,0.7488,High,2,8,0.548,At Risk
21,7,0.333,0.3669,0.252,0.081,27.7752,3.0,8.3246,Medium,1,8,0.757,On Track
14,4,0.2603,0.3034,0.3931,-0.1328,10.1768,6.97,3.2669,Low,0,5,0.805,At Risk
10,7,0.7178,0.8278,0.5997,0.1182,11.673,30.37,2.2884,Medium,1,3,0.9,On Track
25,8,0.3281,0.5576,0.4526,-0.1245,17.677,40.92,0.7825,Low,0,4,0.739,At Risk
5,0,0.0,0.0014,0.02,-0.02,0.0,5.52,0.0,Low,0,10,0.732,At Risk
12,6,0.4709,0.4186,0.3854,0.0855,15.567,49.04,0.9412,High,2,9,0.377,On Track
18,5,0.2838,0.4933,0.218,0.0657,22.9341,39.86,0.6945,Medium,1,6,0.832,At Risk
17,17,0.9807,1.0,0.98,0.0007,17.3469,27.22,3.4748,High,2,5,0.619,On Track
22,6,0.2734,0.2528,0.3094,-0.036,19.3919,50.59,0.53,Low,0,2,0.463,At Risk
6,6,0.99,0.8544,0.8685,0.1215,6.9085,49.15,1.9741,Low,0,9,0.874,Excellent
16,11,0.7152,0.6529,0.6005,0.1147,18.3172,72.48,0.9733,Medium,1,3,0.838,On Track
13,6,0.4248,0.7062,0.1961,0.2287,30.6009,47.92,0.8684,Medium,1,3,0.892,On Track
18,8,0.4624,0.6358,0.7293,-0.2669,10.969,3.0,11.5607,High,2,7,0.849,At Risk
4,0,0.0,0.1174,0.0923,-0.0923,0.0,41.58,0.0,Low,0,11,0.68,At Risk
5,2,0.3508,0.4217,0.3125,0.0384,6.4005,36.51,0.9353,High,2,9,0.901,On Track
21,10,0.4819,0.6985,0.34,0.1419,29.4116,3.0,12.047,High,2,6,0.702,On Track
13,4,0.3273,0.4233,0.4519,-0.1246,8.8519,20.09,1.552,Medium,1,12,0.56,At Risk
14,14,0.99,0.9187,0.7855,0.2045,17.823,71.82,1.3595,High,2,10,0.831,On Track
18,12,0.68,0.7723,0.7612,-0.0812,15.7655,55.84,1.1963,Medium,1,10,0.8,At Risk
17,15,0.8989,0.8116,0.6508,0.2481,23.0478,48.24,1.8257,High,2,2,0.891,On Track
5,0,0.0705,0.4954,0.1125,-0.042,0.0,42.42,0.1625,Medium,1,5,0.911,At Risk
18,3,0.1805,0.0366,0.2144,-0.0339,13.9957,17.11,0.9969,Low,0,12,0.843,On Track
24,14,0.598,0.6169,0.4888,0.1092,28.6401,39.43,1.4792,Medium,1,2,0.69,On Track
4,1,0.2791,0.3005,0.0995,0.1796,10.0546,48.16,0.5676,Low,0,12,0.661,At Risk
25,18,0.7039,0.526,0.8364,-0.1325,21.5211,58.97,1.1738,Low,0,5,0.769,At Risk
23,12,0.5334,0.5181,0.2916,0.2418,41.1572,55.33,0.9468,Medium,1,10,0.855,On Track
24,3,0.1302,0.0,0.3225,-0.1923,9.3028,3.0,3.2555,Low,0,8,0.753,At Risk
12,7,0.6233,0.7768,0.7247,-0.1014,9.6596,72.48,0.8483,Medium,1,12,0.773,At Risk
15,10,0.6639,0.7666,0.7303,-0.0664,13.6926,57.27,1.1393,Medium,1,11,0.936,At Risk
14,7,0.5139,0.4302,0.3634,0.1505,19.2625,35.1,1.4236,High,2,1,0.892,On Track
17,6,0.3626,0.159,0.2289,0.1337,26.2146,27.21,1.2853,Medium,1,6,0.605,On Track
8,7,0.8414,1.0,0.8546,-0.0133,8.1906,24.91,3.2475,Low,0,10,0.308,On Track
6,3,0.5365,0.7906,0.5141,0.0224,5.8353,51.68,1.0185,High,2,8,0.564,On Track
4,4,0.99,0.966,0.7228,0.2672,5.5344,44.82,2.1605,High,2,4,0.8,Excellent
12,12,0.99,0.903,0.8012,0.1888,14.978,41.33,2.339,High,2,3,0.531,Excellent
10,8,0.7756,0.8164,0.747,0.0286,10.7091,48.88,1.555,Medium,1,7,0.702,On Track
15,9,0.581,0.9298,0.4421,0.1389,20.359,54.86,1.04,High,2,8,0.902,On Track
5,2,0.3642,0.4248,0.3184,0.0458,6.2809,33.21,1.0647,Medium,1,3,0.754,On Track
17,16,0.9543,0.8251,0.8887,0.0656,18.0042,44.63,2.0912,Low,0,7,0.747,On Track
20,16,0.8171,0.8367,0.695,0.122,23.0206,45.6,1.7532,Medium,1,5,0.681,On Track
7,2,0.2942,0.1524,0.2943,-0.0001,6.7963,3.0,7.3546,Low,0,7,0.771,On Track
20,19,0.9274,0.9958,0.8443,0.0831,22.5044,68.15,1.3412,Low,0,5,0.658,On Track
25,23,0.9179,0.9425,0.6257,0.2923,36.7614,30.2,2.9424,High,2,7,0.782,Excellent
14,4,0.2569,0.1894,0.312,-0.0551,12.8188,44.74,0.5617,Medium,1,11,0.737,At Risk
15,8,0.52,0.6059,0.6288,-0.1088,12.7219,27.81,1.8052,High,2,4,0.654,At Risk
7,2,0.3047,0.5597,0.2604,0.0443,7.6795,62.09,0.483,Low,0,2,0.433,At Risk
8,3,0.4288,0.5857,0.2404,0.1883,12.4767,10.69,3.6662,High,2,3,0.912,On Track
10,4,0.3808,0.3635,0.2678,0.113,14.9366,58.78,0.637,Low,0,11,0.717,At Risk
10,1,0.1471,0.1944,0.3322,-0.1852,3.0101,43.9,0.3275,Low,0,1,0.6,At Risk
18,14,0.7623,0.7143,0.8602,-0.0979,16.2759,39.38,1.8877,High,2,10,0.731,At Risk
8,4,0.5076,0.5026,0.5955,-0.0879,6.7169,75.09,0.6671,Medium,1,5,0.671,At Risk
12,11,0.9215,1.0,0.6512,0.2703,16.8926,35.01,2.5586,Low,0,1,0.611,Excellent
7,4,0.578,0.4878,0.5215,0.0565,7.6703,87.83,0.6507,High,2,7,0.916,At Risk
20,12,0.5781,0.7601,0.5869,-0.0088,20.4462,54.67,1.0384,Medium,1,6,0.606,On Track
22,15,0.6727,0.8303,0.7313,-0.0586,20.5104,52.5,1.2574,High,2,10,0.643,At Risk
